data_source,Agent_A,Agent_B,Agent_D,Agent_E,Agent_F,Agent_H,Agent_J,Agent_K,Agent_M,Agent_P,Agent_G
latest_data.polymarket_markets,collect,✅,⚠️,⚠️,⚠️,❌,❌,⚠️,❌,✅,❌
latest_data.google_news,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
latest_data.fed_rate,collect,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌
latest_data.btc_funding_rate,collect,✅,❌,⚠️,⚠️,❌,❌,❌,❌,❌,❌
latest_data.okx_bundle,collect,❌,❌,⚠️,⚠️,❌,❌,❌,❌,❌,❌
latest_data.us_stocks,preserve,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
latest_data.commodity_forex,collect,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
latest_data.multi_exchange,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
market_price_history.json,❌,❌,❌,❌,❌,❌,❌,❌,❌,✅,❌
asset_price_history.json,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
market_intelligence.json,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
learned_rules.json,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌
intelligence_report.json,❌,write,❌,❌,❌,❌,❌,❌,❌,❌,❌
signals.json,❌,via_consolidate,⚠️,⚠️,⚠️,❌,❌,⚠️,✅,❌,❌
risk_snapshot.json,❌,❌,❌,❌,❌,❌,❌,❌,✅,❌,❌
learning_knowledge_base.json,❌,❌,❌,❌,❌,❌,❌,❌,✅,❌,write
strategy_config.json,❌,❌,❌,❌,❌,❌,❌,❌,❌,✅,❌
pm_trader_portfolio_cli,❌,❌,❌,❌,❌,❌,❌,❌,❌,✅,❌
pm_trader_history_cli,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,✅
review_results.json,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,✅
regime_states.json_hmm,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
volatility_states.json_garch,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
correlation_signals.json,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
data_historical_archive,❌,❌,❌,❌,❌,❌,❌,❌,⚠️,❌,❌
shared_intelligence.okx_weekly,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
shared_intelligence.us_etf_weekly,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
shared_intelligence.replay_dataset,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
whale_trades_field,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
funding_historical_files,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
commodity_historical_files,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
forex_historical_files,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
hk_cn_stocks_historical,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
